Algo,Strategie,Cap%,Post-Trait,Hilbert,Clusters,Rempli(%),Dist_Moy(km),Mem(Ko),Temps(ms)
Quadtree,Pessimiste,80,None,NON,21290,24.28,20.97,2647.72,328.17
Quadtree,Pessimiste,100,None,NON,20969,19.73,21.05,2647.73,328.49
Quadtree,Optimiste,80,None,NON,20805,2.14,21.10,2647.73,323.90
Quadtree,Optimiste,100,None,NON,20805,1.71,21.10,2647.73,419.25
Quadtree,Overbooking,80,None,NON,20805,8.95,21.10,2647.73,302.43
Quadtree,Overbooking,100,None,NON,20805,7.16,21.10,2647.73,279.69
Quadtree,Pessimiste,80,Centroid,NON,21290,24.28,19.47,2647.72,318.04
Quadtree,Pessimiste,100,Centroid,NON,20969,19.73,19.56,2647.73,293.69
Quadtree,Optimiste,80,Centroid,NON,20805,2.14,19.62,2647.73,289.40
Quadtree,Optimiste,100,Centroid,NON,20805,1.71,19.62,2647.73,310.93
Quadtree,Overbooking,80,Centroid,NON,20805,8.95,19.62,2647.73,305.86
Quadtree,Overbooking,100,Centroid,NON,20805,7.16,19.62,2647.73,309.73
Quadtree,Pessimiste,80,BestUser,NON,21290,24.28,25.31,2647.72,293.67
Quadtree,Pessimiste,100,BestUser,NON,20969,19.73,25.45,2647.73,312.12
Quadtree,Optimiste,80,BestUser,NON,20805,2.14,25.50,2647.73,288.70
Quadtree,Optimiste,100,BestUser,NON,20805,1.71,25.50,2647.73,297.80
Quadtree,Overbooking,80,BestUser,NON,20805,8.95,25.57,2647.73,295.84
Quadtree,Overbooking,100,BestUser,NON,20805,7.16,25.57,2647.73,297.41
Quadtree,Pessimiste,80,Mean(Local),NON,18553,27.85,20.87,2647.28,484.10
Quadtree,Pessimiste,100,Mean(Local),NON,18131,22.80,21.04,2647.26,477.01
Quadtree,Optimiste,80,Mean(Local),NON,17894,2.49,21.17,2647.25,493.32
Quadtree,Optimiste,100,Mean(Local),NON,17894,1.99,21.17,2647.25,468.60
Quadtree,Overbooking,80,Mean(Local),NON,17895,10.40,21.17,2647.25,458.24
Quadtree,Overbooking,100,Mean(Local),NON,17894,8.32,21.17,2647.25,461.42
Quadtree,Pessimiste,80,Mean(Global),NON,18553,27.85,20.82,2647.97,577.95
Quadtree,Pessimiste,100,Mean(Global),NON,18131,22.80,20.98,2647.96,590.57
Quadtree,Optimiste,80,Mean(Global),NON,17894,2.49,21.11,2648.25,561.40
Quadtree,Optimiste,100,Mean(Global),NON,17894,1.99,21.11,2648.25,572.95
Quadtree,Overbooking,80,Mean(Global),NON,17895,10.40,21.11,2648.25,568.96
Quadtree,Overbooking,100,Mean(Global),NON,17894,8.32,21.11,2648.25,632.70
Quadtree,Pessimiste,80,None,OUI,22225,23.18,21.33,2647.52,352.62
Quadtree,Pessimiste,100,None,OUI,22034,18.75,21.36,2647.66,349.46
Quadtree,Optimiste,80,None,OUI,21953,2.03,21.36,2647.73,349.77
Quadtree,Optimiste,100,None,OUI,21953,1.62,21.36,2647.73,365.07
Quadtree,Overbooking,80,None,OUI,21953,8.49,21.36,2647.73,345.32
Quadtree,Overbooking,100,None,OUI,21953,6.79,21.36,2647.73,347.07
Quadtree,Pessimiste,80,Centroid,OUI,22225,23.18,18.29,2647.52,355.38
Quadtree,Pessimiste,100,Centroid,OUI,22034,18.75,18.34,2647.66,351.93
Quadtree,Optimiste,80,Centroid,OUI,21953,2.03,18.36,2647.73,374.05
Quadtree,Optimiste,100,Centroid,OUI,21953,1.62,18.36,2647.73,357.54
Quadtree,Overbooking,80,Centroid,OUI,21953,8.49,18.36,2647.73,352.85
Quadtree,Overbooking,100,Centroid,OUI,21953,6.79,18.36,2647.73,398.51
Quadtree,Pessimiste,80,BestUser,OUI,22225,23.18,23.06,2647.52,357.16
Quadtree,Pessimiste,100,BestUser,OUI,22034,18.75,23.16,2647.66,353.65
Quadtree,Optimiste,80,BestUser,OUI,21953,2.03,23.21,2647.73,343.44
Quadtree,Optimiste,100,BestUser,OUI,21953,1.62,23.21,2647.73,336.07
Quadtree,Overbooking,80,BestUser,OUI,21953,8.49,23.20,2647.73,333.78
Quadtree,Overbooking,100,BestUser,OUI,21953,6.79,23.20,2647.73,335.38
Quadtree,Pessimiste,80,Mean(Local),OUI,17666,28.94,21.01,2645.37,513.07
Quadtree,Pessimiste,100,Mean(Local),OUI,17329,23.66,21.18,2645.45,499.84
Quadtree,Optimiste,80,Mean(Local),OUI,17152,2.57,21.30,2645.37,511.37
Quadtree,Optimiste,100,Mean(Local),OUI,17152,2.05,21.30,2645.37,510.29
Quadtree,Overbooking,80,Mean(Local),OUI,17152,10.76,21.30,2645.37,514.97
Quadtree,Overbooking,100,Mean(Local),OUI,17152,8.61,21.30,2645.37,501.02
Quadtree,Pessimiste,80,Mean(Global),OUI,17666,28.91,20.91,2645.96,634.69
Quadtree,Pessimiste,100,Mean(Global),OUI,17329,23.63,21.06,2646.44,591.47
Quadtree,Optimiste,80,Mean(Global),OUI,17152,2.56,21.16,2646.80,626.82
Quadtree,Optimiste,100,Mean(Global),OUI,17152,2.05,21.16,2646.80,621.17
Quadtree,Overbooking,80,Mean(Global),OUI,17152,10.74,21.16,2646.80,604.43
Quadtree,Overbooking,100,Mean(Global),OUI,17152,8.59,21.16,2646.80,586.35
